Model Selected,Discretizaion,Discretizaion Type,Number Of Bins,Normalization,Data Completed By,Max Tree Depth,Number Of Neighbors,Number Of Clusters,Majority,Accuracy,Recall,Precision,F1Score
KNN,Yes,Equal-depth,2,No,Classification Column,Not Relevant,3,Not Relevant,11.904761904761903,21.08843537414966,21.08843537414966,45.628081016063895,0.17735635670345284
KNN,Yes,Equal-width,2,No,Classification Column,Not Relevant,3,Not Relevant,57.377049180327866,42.62295081967213,100.0,75.54420854608975,0.2547578669681552
Sklearn NaiveBayes,Yes,Equal-width,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,57.377049180327866,65.57377049180327,65.57377049180327,74.79137543948828,0.642934950712086
Sklearn NaiveBayes,Yes,Entropy Based,3,Yes,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,89.1076923076923,89.1076923076923,89.85605236496465,0.8900259035299702
KNN,Yes,Equal-depth,3,Yes,Classification Column,Not Relevant,3,Not Relevant,52.98461538461539,51.26153846153846,51.26153846153846,45.11040271040272,0.39651269072591444
KNN,Yes,Equal-depth,3,Yes,Classification Column,Not Relevant,5,Not Relevant,52.98461538461539,51.69230769230769,51.69230769230769,41.96642994050455,0.37730775325759836
Our NaiveBayes,Yes,Equal-width,3,No,Classification Column,Not Relevant,Not Relevant,Not Relevant,52.98461538461539,78.8923076923077,78.8923076923077,80.53881587968274,0.7838832985882042
KNN,No,None,None,Yes,Classification Column,Not Relevant,2,Not Relevant,52.98461538461539,52.0,52.0,45.497757847533634,0.3864656111250733
KNN,No,None,None,Yes,Classification Column,Not Relevant,3,Not Relevant,52.98461538461539,51.50769230769231,51.50769230769231,46.5020780036492,0.4036362052790624
KNN,No,None,None,Yes,Classification Column,Not Relevant,6,Not Relevant,52.98461538461539,52.55384615384615,52.55384615384615,44.33381684265905,0.373545283726669
KNN,Yes,Entropy Based,2,Yes,Classification Column,Not Relevant,6,Not Relevant,52.98461538461539,52.55384615384615,52.55384615384615,44.33381684265905,0.373545283726669
KNN,Yes,Equal-width,4,Yes,Classification Column,Not Relevant,6,Not Relevant,52.98461538461539,52.55384615384615,52.55384615384615,44.33381684265905,0.373545283726669
KNN,Yes,Equal-width,4,No,All Data,Not Relevant,6,Not Relevant,52.98461538461539,52.55384615384615,52.55384615384615,44.33381684265905,0.373545283726669
Our Decision Tree,Yes,Equal-width,4,No,All Data,3,Not Relevant,Not Relevant,52.98461538461539,54.09230769230769,13.874345549738221,54.63917525773196,0.22129436325678498
KNN,No,None,None,Yes,Classification Column,Not Relevant,2,Not Relevant,52.98461538461539,52.0,52.0,45.497757847533634,38.646561112507335
KNN,No,None,None,Yes,Classification Column,Not Relevant,3,Not Relevant,52.98461538461539,51.50769230769231,51.50769230769231,46.5020780036492,40.36362052790624
KNN,No,None,None,Yes,Classification Column,Not Relevant,6,Not Relevant,52.98461538461539,52.55384615384615,52.55384615384615,44.33381684265905,37.3545283726669
Our Decision Tree,Yes,Equal-width,4,No,All Data,3,Not Relevant,Not Relevant,52.98461538461539,54.09230769230769,13.874345549738221,54.63917525773196,22.129436325678498
Sklearn Decision Tree,Yes,Equal-width,4,No,All Data,3,Not Relevant,Not Relevant,52.98461538461539,50.89230769230769,50.89230769230769,48.514877507574994,45.199804935265284
Sklearn Decision Tree,Yes,Equal-width,4,No,All Data,6,Not Relevant,Not Relevant,52.98461538461539,60.55384615384616,60.55384615384616,67.70256123798795,54.21168505460787
Sklearn Decision Tree,Yes,Equal-width,4,No,All Data,15,Not Relevant,Not Relevant,52.98461538461539,60.55384615384616,60.55384615384616,67.70256123798795,54.21168505460787
Our Decision Tree,Yes,Equal-width,4,No,All Data,6,Not Relevant,Not Relevant,52.98461538461539,54.09230769230769,13.874345549738221,54.63917525773196,22.129436325678498
Our Decision Tree,Yes,Equal-width,4,No,All Data,6,Not Relevant,Not Relevant,52.98461538461539,54.09230769230769,13.874345549738221,54.63917525773196,22.129436325678498
